OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,POP100,HU100,demand_Jan,demand_Feb,demand_Mar,demand_Apr,demand_May,demand_Jun,demand_Jul,demand_Aug,demand_Sep,demand_Oct,demand_Nov,demand_Dec,demand_yr,Iso_area,track_area,freq_Jan,station_co,supply_Jan,freq_Feb,station__1,supply_Feb,freq_Mar,station__2,supply_Mar,freq_Apr,station__3,supply_Apr,freq_May,station__4,supply_May,freq_Jun,station__5,supply_Jun,freq_Jul,station__6,supply_Jul,freq_Aug,station__7,supply_Aug,freq_Sep,station__8,supply_Sep,freq_Oct,station__9,supply_Oct,freq_Nov,station_10,supply_Nov,freq_Dec,station_11,supply_Dec,supply_yr,tdi_Jan,tdi_Feb,tdi_Mar,tdi_Apr,tdi_May,tdi_Jun,tdi_Jul,tdi_Aug,tdi_Sep,tdi_Oct,tdi_Nov,tdi_Dec,tdi_yr,dominant_type,Commercial_pct,Industrial_pct,MixedUse_pct,Other_pct,Public_pct,Residential_pct,Commercial_pct_pct,Industrial_pct_pct,MixedUse_pct_pct,Other_pct_pct,Public_pct_pct,Residential_pct_pct
1,49,049,000901,49049000901,9.01,Census Tract,G5020,S,1686016.0,0.0,+40.3051285,-111.6922978,5559,1958,760.9237284188602,936.7574052502742,1017.7674032956321,865.9265368444819,561.1186435675393,617.704319579695,581.9795261559564,574.7335715751041,608.782982780253,1022.510945362435,639.1945376218861,725.5704166215438,8912.970017073661,1.490283770625016,1.684804381958832,72232.0,26,-0.850052478598714,66372.0,26,-0.852303205122769,72600.0,26,-0.851234977408718,72136.0,26,-0.850154781636388,42128.0,26,-0.870653371974071,41864.0,26,-0.873109848097598,41188.0,26,-0.875015791929525,42216.0,26,-0.871189323202079,73436.0,26,-0.805051296486851,78112.0,26,-0.806433127235926,69204.0,26,-0.807929465270468,73436.0,26,-0.815780821967259,-10.128908488930367,0.093583343274794,0.107169371517147,0.116325300543756,0.301558136774202,0.057492222077085,0.125917514904795,0.066613762923365,0.090414710768196,0.080999166512401,0.182224154248789,0.093203608056842,0.108447464829928,0.105058985417261,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,49,049,002500,49049002500,25,Census Tract,G5020,S,1034541.0,0.0,+40.2296149,-111.6497278,4218,1653,1436.2104596628405,768.8779198043679,542.8583509728762,273.8077715367063,692.1276657633266,591.6553055259841,814.4253085026556,438.9959329531951,421.02616778939256,450.34070922632276,507.9848880222432,492.47975649355624,7430.790236253467,1.033791121838305,1.033791121838306,186788.0,66,-0.259096698926989,171456.0,66,-0.268086698086285,187098.0,66,-0.266999404509377,186708.0,66,-0.256591700624987,106070.0,66,-0.378657806183278,106218.0,66,-0.38009161072369,102799.0,66,-0.400089907703515,106284.0,66,-0.376841806384483,162512.0,66,-0.281728719124074,173383.0,66,-0.281995215183628,152911.0,66,-0.298875705641271,162497.0,66,-0.295596399076281,-3.744651672167859,-0.081323858052686,-0.138728064843531,-0.195352473343148,-0.287854889672871,-0.072370970584635,-0.083926368102228,-0.055944540695089,-0.144710816551746,-0.178786873394305,-0.150039542993616,-0.144155354524551,-0.148810671189795,-0.132678008075518,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,49,049,003401,49049003401,34.01,Census Tract,G5020,S,9085765.0,23788.0,+40.0560227,-111.7122570,3896,1233,291.0081223633184,369.31811637422754,276.5591859569091,99.90122924877144,297.3792286091709,237.3682118911431,318.66579406078995,161.8269158189782,260.5931484224068,316.6922431311238,355.0023420502716,253.4651121829299,3237.7796501100406,2.307974081881927,9.103100400322434,41556.0,46,0.008077236040311,37974.0,46,0.006474149528743,41556.0,46,0.007118287250947,41556.0,46,0.007696730446718,25074.0,46,0.014381275893331,25452.0,46,0.016083333176513,24444.0,46,0.012744223626146,25263.0,46,0.014017676870212,48888.0,46,0.067993321195209,51879.0,46,0.066400029698287,45363.0,46,0.065398705902921,48888.0,46,0.05810975866909,0.344494728298428,-0.292445510296112,-0.277671373198255,-0.348728978859758,-0.496947394580777,-0.429980843315124,-0.418902304477563,-0.364123876678111,-0.377890859012648,-0.361886128380899,-0.317773226501841,-0.329278023268976,-0.340932188723485,-0.339935763245694,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,49,049,010210,49049010210,102.10,Census Tract,G5020,S,15810476.0,0.0,+40.4005884,-111.7306856,5868,1592,201.91356763383382,88.1178405938359,14.17393066488995,16.085120723754518,125.22090632953459,25.753476056230912,19.552532614629317,68.5949066619483,11.717049059092293,11.342496435895175,4.819513317675177,4.896555466121191,592.1878955574412,0.469756756744936,15.799340685760402,616.0,0,-2.392357619900097,532.0,0,-2.391046766252171,616.0,0,-2.391000077706086,616.0,0,-2.393645975381599,0.0,0,-2.363834059076203,0.0,0,-2.363808632932017,0.0,0,-2.360442773829314,0.0,0,-2.365949202023736,588.0,0,-2.383983142658251,616.0,0,-2.384473535121429,532.0,0,-2.376206731645394,588.0,0,-2.39220221069634,-28.558950727222634,0.65961387878398,0.660712138280252,0.567374004163228,0.41369760968688,0.432154881806137,0.425704337245462,0.497501716128468,0.546240694601274,0.548913200521833,0.59436112187546,0.556045527080833,0.583319622644224,0.577771900514995,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,49,049,000505,49049000505,5.05,Census Tract,G5020,S,3919712.0,0.0,+40.3700595,-111.7070846,3288,846,1.331601600487744,8.00072909205064,3.312839098864461,8.592772411433375,7.499062591964035,5.154720391037466,0.0,0.0,8.428560809019713,0.0,0.0,4.33041061182564,46.65069660668308,1e-10,3.916927533650016,0.0,0,-2.812182414547005,0.0,0,-2.810687279825811,0.0,0,-2.810790017481335,0.0,0,-2.813484429909575,0.0,0,-2.781092745508172,0.0,0,-2.781067319363986,0.0,0,-2.777701460261284,0.0,0,-2.783207888455705,0.0,0,-2.803945506971525,0.0,0,-2.804387678998129,0.0,0,-2.795977816583279,0.0,0,-2.812144311598455,-33.586668869504265,0.809283306010316,0.822705477794177,0.733497151516895,0.577167575438339,0.538929086666474,0.582021811658008,0.658541407047601,0.693717139789179,0.715590242571783,0.759450029812284,0.72256735139418,0.750697263813606,0.735959333263448,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,49,049,000507,49049000507,5.07,Census Tract,G5020,S,3266953.0,0.0,+40.3582891,-111.6967597,2203,593,6.751218775570109,12.12225181122044,24.003010071532216,0.0,3.619859524958676,10.273919862445515,0.0,5.490037611644671,1.826975594359721,0.0,2.214013834482645,10.042716731722118,76.34400381793611,1e-10,3.264620059246014,0.0,0,-2.812182414547005,0.0,0,-2.810687279825811,0.0,0,-2.810790017481335,0.0,0,-2.813484429909575,0.0,0,-2.781092745508172,0.0,0,-2.781067319363986,0.0,0,-2.777701460261284,0.0,0,-2.783207888455705,0.0,0,-2.803945506971525,0.0,0,-2.804387678998129,0.0,0,-2.795977816583279,0.0,0,-2.812144311598455,-33.586668869504265,0.809776676214118,0.82300598849185,0.736895179018146,0.572059328442246,0.536957149960218,0.584576407171242,0.658541407047601,0.695245272168942,0.713797971673989,0.759450029812284,0.72313952001532,0.751917134793576,0.736462689133442,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,49,049,010209,49049010209,102.09,Census Tract,G5020,S,6765130.0,0.0,+40.4440183,-111.7673794,5649,1528,303.61320743014784,45.408341776891604,240.99470493302854,17.39911521909726,12.89233407048326,7.526986588280762,21.95983791213934,21.91416793088781,17.08474191078841,24.00052860303721,123.43527237106761,10.221941824012417,846.4511805698622,0.778119990498556,6.760429991674174,528.0,0,-2.118822371338237,456.0,0,-2.117485191822702,528.0,0,-2.117459849876846,528.0,0,-2.120112678231321,0.0,0,-2.089932223626495,0.0,0,-2.089906797482309,0.0,0,-2.086540938379606,0.0,0,-2.092047366574028,504.0,0,-2.110467546905872,528.0,0,-2.110951050735254,456.0,0,-2.10266381026796,504.0,0,-2.118683720170938,-25.275073545411566,0.559458364088596,0.548187351185421,0.495215483272657,0.305072832197098,0.265681989708302,0.307249541421455,0.388776943775789,0.423905714012558,0.441234596964863,0.487959153411334,0.477374232007024,0.475360997368399,0.472721002615439,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,49,049,010211,49049010211,102.11,Census Tract,G5020,S,76536151.0,26992.0,+40.4888428,-111.7277764,3898,1047,0.0,71.78698740000617,0.0,19.991462315977127,5.539174266127964,24.048618205881663,0.0,0.0,9.79085166426946,0.0,1.414787227700301,1.774378086095597,134.34625916605827,1e-10,76.509449186851,0.0,0,-2.812182414547005,0.0,0,-2.810687279825811,0.0,0,-2.810790017481335,0.0,0,-2.813484429909575,0.0,0,-2.781092745508172,0.0,0,-2.781067319363986,0.0,0,-2.777701460261284,0.0,0,-2.783207888455705,0.0,0,-2.803945506971525,0.0,0,-2.804387678998129,0.0,0,-2.795977816583279,0.0,0,-2.812144311598455,-33.586668869504265,0.809162084800073,0.827356296021363,0.732953071026694,0.58394388937711,0.537932805816227,0.591450291023753,0.658541407047601,0.693717139789179,0.715960092263153,0.759450029812284,0.722932975512997,0.750151419484441,0.737445933454954,Residential,0.0,0.0,0.0,0.9993219984755042,0.0,0.0006780015244957301,0.0,0.0,0.0,5.073129466091023e-05,0.0,3.441923141110793e-08
11,49,049,010409,49049010409,104.09,Census Tract,G5020,S,45040470.0,0.0,+39.9440138,-111.7630224,3721,958,35.15478263046094,177.414188716167,22.497326462751847,47.45906155964883,23.407915166691634,116.54863194564817,144.55621071352547,152.71347804925713,22.648429895594866,51.02600274750753,117.32484429657424,42.73766604572472,953.4885382295523,0.282600703841944,45.00917697105125,616.0,0,-2.558597887203203,532.0,0,-2.557287033555277,616.0,0,-2.557240345009192,616.0,0,-2.559886242684705,240.0,0,-2.52865459249962,264.0,0,-2.528492995840579,252.0,0,-2.525205738456479,252.0,0,-2.53069242951632,504.0,0,-2.550609649658687,528.0,0,-2.551093153488068,456.0,0,-2.542805913020774,504.0,0,-2.558825822923752,-30.549391803856658,0.710928972091287,0.733710621563237,0.635233503406203,0.498840459464501,0.446214538443059,0.536765832515484,0.59944418613773,0.635420265629605,0.618366873954077,0.669368521478804,0.651704004294334,0.657860311758796,0.650183153524897,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,49,049,010406,49049010406,104.06,Census Tract,G5020,S,30907295.0,0.0,+40.0770613,-111.6593552,3555,981,254.18661052491757,331.6295086269994,337.607734308013,43.445689828873704,164.32625113156809,253.33542217386307,174.0770757286258,387.10756531608007,75.85060820874448,98.20974683120181,61.62470905827847,210.89279385112326,2392.2937155882887,1.819653049885698,30.8849811679408,26368.0,28,-0.722589572685725,24096.0,28,-0.723056548105788,26368.0,28,-0.72268914519137,26368.0,28,-0.723306874178135,15920.0,28,-0.70716698499258,16160.0,28,-0.706077031141095,15520.0,28,-0.706968294992722,16040.0,28,-0.708170036559533,30976.0,28,-0.681764940660101,32872.0,28,-0.682932733708777,28744.0,28,-0.680482656576914,30976.0,28,-0.691031227300721,-8.456236046093462,-0.003531990784541,0.011355863191782,-0.046795531318677,-0.23812750881635,-0.209493520569508,-0.122601076929342,-0.118388710827991,-0.026887588545812,-0.112879851668915,-0.065802123259336,-0.10699391425103,-0.051220415836132,-0.061182480139792,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
