X,Y,fid,stopabbr,stopname,city,county,stopabbr_j,uta_stopid,latitude,longitude,avgboard,avgalight,route,mode,zipcode,avgboard2,avgalight2
-111.973612,41.087382,1,101001,Hill Field Rd @ 1891 N,Layton,Davis,101001,101001,41.087382,-111.973612,0,0,"627, 640",Bus,84041,0.31,0.05
-111.973621,41.0837930000001,2,101003,Hill Field Rd @ 1655 N,Layton,Davis,101003,101003,41.083793,-111.973621,0,1,"627, 640",Bus,84041,0.1,0.62
-111.969459,41.063411,3,101006,Main St @ 229 N,Layton,Davis,101006,101006,41.063411,-111.969459,2,6,"470, 628",Bus,84041,1.6,5.67
-111.974571,41.078921,4,101007,Layton Hills Mall,Layton,Davis,101007,101007,41.078921,-111.974571,153,144,"472, 627, 628, 640, 677",Bus,84041,153.3,143.85
-111.950257,41.044271,5,101009,Main St @ 573 N,Kaysville,Davis,101009,101009,41.044271,-111.950257,4,11,470,Bus,84037,4.01,10.56
-111.973347,41.0830710000001,6,101011,Hill Field Rd @ 1596 N,Layton,Davis,101011,101011,41.083071,-111.973347,2,1,"627, 640",Bus,84041,1.7,0.93
-111.973341,41.0849440000001,7,101012,Hill Field Rd @ 1748 N,Layton,Davis,101012,101012,41.084944,-111.973341,3,1,"627, 640",Bus,84041,3.45,1.34
-111.961671,41.0747230000001,8,101016,Gordon Ave @ 289 E,Layton,Davis,101016,101016,41.074723,-111.961671,0,0,627,Bus,84041,0.36,0.15
-111.964363,41.0747460000001,9,101017,Gordon Ave @ 75 E,Layton,Davis,101017,101017,41.074746,-111.964363,1,0,627,Bus,84041,0.51,0.21
-111.966594,41.0747620000001,10,101018,Gordon Ave @ 40 W,Layton,Davis,101018,101018,41.074762,-111.966594,0,0,627,Bus,84041,0.05,0.31
-111.972262,41.074802,11,101019,Gordon Ave @ 365 W,Layton,Davis,101019,101019,41.074802,-111.972262,0,1,627,Bus,84041,0.46,0.98
-111.973342,41.0802650000001,12,101021,Hill Field Rd @ 1420 N,Layton,Davis,101021,101021,41.080265,-111.973342,5,3,"627, 640",Bus,84041,4.84,3.4
-111.970055,41.0746350000001,13,101023,Gordon Ave @ 222 W,Layton,Davis,101023,101023,41.074635,-111.970055,1,1,627,Bus,84041,0.98,0.67
-111.966888,41.0745690000001,14,101024,Gordon Ave @ 54 W,Layton,Davis,101024,101024,41.074569,-111.966888,1,0,627,Bus,84041,1.44,0.15
-111.965261,41.074557,15,101025,Gordon Ave @ 58 E,Layton,Davis,101025,101025,41.074557,-111.965261,0,1,627,Bus,84041,0.26,0.82
-111.960751,41.074526,16,101026,Gordon Ave @ 336 E,Layton,Davis,101026,101026,41.074526,-111.960751,0,0,627,Bus,84041,0.26,0.46
-111.954485,41.0744720000001,17,101027,Gordon Ave @ 570 E,Layton,Davis,101027,101027,41.074472,-111.954485,0,1,627,Bus,84041,0.36,0.88
-111.950307,41.073115,18,101029,Fairfield Rd @ 915 N,Layton,Davis,101029,101029,41.073115,-111.950307,2,5,627,Bus,84041,2.32,5.41
-111.950322,41.070587,19,101030,Fairfield Rd @ 735 N,Layton,Davis,101030,101030,41.070587,-111.950322,0,1,627,Bus,84041,0.21,1.19
-111.949934,41.0667950000001,20,101031,Fairfield Rd @ 447 N,Layton,Davis,101031,101031,41.066795,-111.949934,1,4,627,Bus,84041,0.67,4.43
-111.948851,41.065568,21,101032,Fairfield Rd @ 325 N,Layton,Davis,101032,101032,41.065568,-111.948851,0,0,627,Bus,84041,0,0.46
-111.946749,41.0635510000001,22,101033,Fairfield Rd @ 240 N,Layton,Davis,101033,101033,41.063551,-111.946749,5,1,627,Bus,84041,4.79,0.88
-111.944891,41.060599,23,101034,Fairfield Rd @ 70 S,Layton,Davis,101034,101034,41.060599,-111.944891,1,5,627,Bus,84041,1.34,5
-111.943736,41.0584230000001,24,101035,Fairfield Rd @ 150 S,Layton,Davis,101035,101035,41.058423,-111.943736,1,3,627,Bus,84041,0.93,3.4
-111.942801,41.0409280000001,25,101036,Main St @ 450 N,Kaysville,Davis,101036,101036,41.040928,-111.942801,10,5,470,Bus,84037,9.52,5.31
-111.944772,41.0608080000001,26,101037,Fairfield Rd @ 55 S,Layton,Davis,101037,101037,41.060808,-111.944772,3,0,627,Bus,84041,2.62,0.41
-111.946824,41.063365,27,101038,Fairfield Rd @ 221 N,Layton,Davis,101038,101038,41.063365,-111.946824,1,6,627,Bus,84041,0.98,5.98
-111.948673,41.0656480000001,28,101039,Fairfield Rd @ 340 N,Layton,Davis,101039,101039,41.065648,-111.948673,0,0,627,Bus,84041,0.36,0.05
-111.950123,41.070861,29,101041,Fairfield Rd @ 748 N,Layton,Davis,101041,101041,41.070861,-111.950123,2,0,627,Bus,84041,2.37,0.05
-111.950119,41.073159,30,101042,Fairfield Rd @ 920 N,Layton,Davis,101042,101042,41.073159,-111.950119,5,5,627,Bus,84041,4.94,4.53
-111.957182,41.074686,31,101043,Gordon Ave @ 409 E,Layton,Davis,101043,101043,41.074686,-111.957182,0,0,627,Bus,84041,0.36,0.1
-111.957751,41.0744920000001,32,101044,Gordon Ave @ 402 E,Layton,Davis,101044,101044,41.074492,-111.957751,0,0,627,Bus,84041,0.1,0.31
-112.000243,41.0880940000001,33,101050,Main St @ 1969 N,Layton,Davis,101050,101050,41.088094,-112.000243,8,6,470,Bus,84041,8.03,6.08
-111.997711,41.085605,34,101051,Main St @ 1711 N,Layton,Davis,101051,101051,41.085605,-111.997711,1,2,470,Bus,84041,0.98,2.06
-111.994784,41.083487,35,101052,Main St @ 1591 N,Layton,Davis,101052,101052,41.083487,-111.994784,7,12,470,Bus,84041,7.36,12.31
-111.990767,41.0810050000001,36,101054,Main St @ 1465 N,Layton,Davis,101054,101054,41.081005,-111.990767,3,4,470,Bus,84041,3.34,3.81
-111.983523,41.076604,37,101057,Main St @ 1125 N    (Layton),Layton,Davis,101057,101057,41.076604,-111.983523,3,6,470,Bus,84041,2.93,5.87
-111.974065,41.067997,38,101060,Main St @ 515 N,Layton,Davis,101060,101060,41.067997,-111.974065,8,8,"470, 628",Bus,84041,7.82,8.24
-111.970451,41.064554,39,101061,Main St @ 301 N,Layton,Davis,101061,101061,41.064554,-111.970451,4,10,"470, 628",Bus,84041,3.76,9.79
-111.968586,41.062575,40,101062,Main St @ 145 N,Layton,Davis,101062,101062,41.062575,-111.968586,2,5,"470, 628",Bus,84041,1.9,4.95
-111.964126,41.0601060000001,41,101063,Gentile St @ 70 E,Layton,Davis,101063,101063,41.060106,-111.964126,2,4,470,Bus,84041,1.75,4.38
-111.957755,41.0591210000001,42,101065,Fort Ln @ 70 S    (Layton),Layton,Davis,101065,101065,41.059121,-111.957755,7,4,470,Bus,84041,6.69,4.43
-111.957788,41.057308,43,101066,Fort Ln @ 180 S,Layton,Davis,101066,101066,41.057308,-111.957788,5,5,470,Bus,84041,5.3,5.41
-111.957311,41.049586,44,101069,Main St @ 736 S,Layton,Davis,101069,101069,41.049586,-111.957311,2,2,470,Bus,84041,1.54,1.6
