field_name,data_type,unit,allowed_values,nullable,description,notes,rows,null_rate,unique_values,min,p25,median,mean,p75,max,sample_values
linked_trip_id,string,,,no,Unique identifier for a reconstructed linked journey containing one or more trip segments.,Use with segment_order to reconstruct the ordered linked journey.,103774,0,102489,,,,,,,941d6bf2c8e1e2b8f1eb660b81ee4b32403335fa0894427d452a2adca73de1b2; d39ff47813d2ba013f54fec9c9fa167fff0f714c51e700aa5830c68ab9110eb2; a668602fe64f92127dd4bcd6d6efcf2860ae02899c6f498bb719a650a91208c6; f011e8284be54c9f1b8d83a2026d212c12467a9983929d8e1335840a60874b48; 3573b57b67d7e6ffc5c8fb544f5eece0ef0c33f78941596d04b1eca78ee05c27
trip_id,string,,,no,Unique identifier for a reconstructed single-mode trip segment.,Primary segment-level identifier.,103774,0,103774,,,,,,,550d1c7b3336039a993c2b1af1faf68691f96e9ba6a1b7af1f00c16c98a0ceff; 193f446110d263bc5688fffef0a0db12b2bde46443bd35ab9723810da0687085; 36344b97d020dcc2b455498091d7220f7419e9590a1fbe63c39435740a668a3c; 09c15932f83bb0b093bcb9f915d3a9ab933bdc67d5c9a49a5771845f516ccf5b; 3a473248c24e22a0c912ecfae96c0baa2445fd2b94d34b6e84b11f2296bc03f9
segment_order,integer,,positive integers starting at 1,no,Sequential position of the trip segment within linked_trip_id.,Assigned by sorting segments within each linked_trip_id by local trip start time.,103774,0,6,1,1,1,1.015004,1,6,
travel_mode,string,,car; walk/bike; bus; rail,no,Inferred travel mode for the trip segment.,Values identify the segment-level travel mode.,103774,0,4,,,,,,,car; walk/bike; bus; rail
year_start,integer,,2020,no,Year when the trip segment starts.,Exact start date is not released in sample data.,103774,0,1,2020,2020,2020,2020,2020,2020,
month_start,integer,,,no,Month when the trip segment starts.,Exact start date is not released in sample data.,103774,0,,,,,,,,
day_of_week_start,integer,,0-6,no,Day of week when the trip segment starts.,Monday=0 and Sunday=6.,103774,0,1,2,2,2,2,2,2,
30_interv_start,integer,,0-47,no,30-minute interval index within the day when the trip segment starts.,0 indicates 00:00-00:29 and 47 indicates 23:30-23:59 local time.,103774,0,48,0,20,28,26.937769,34,47,
year_end,integer,,2020,no,Year when the trip segment ends.,Exact start date is not released in sample data.,103774,0,1,2020,2020,2020,2020,2020,2020,
month_end,integer,,,no,Month when the trip segment ends.,Exact start date is not released in sample data.,103774,0,,,,,,,,
day_of_week_end,integer,,0-6,no,Day of week when the trip segment ends.,Monday=0 and Sunday=6.,103774,0,2,2,2,2,2.003064,2,3,
30_interv_end,integer,,0-47,no,30-minute interval index within the day when the trip segment ends.,0 indicates 00:00-00:29 and 47 indicates 23:30-23:59 local time.,103774,0,48,0,21,29,27.619259,35,47,
geohash6_orig,string,,Geohash-6,no,Generalized trip origin as a Geohash-6 cell.,"Do not interpret as an exact address, building location, or GPS coordinate.",103774,0,4478,,,,,,,9x23kt; 9x0rp7; 9x22vc; 9x0rv8; 9x0rtg
geohash6_dest,string,,Geohash-6,no,Generalized trip destination as a Geohash-6 cell.,"Do not interpret as an exact address, building location, or GPS coordinate.",103774,0,4466,,,,,,,9x23eg; 9x0qzv; 9x22w2; 9x0rys; 9x0ry1
trip_duration,float,minutes,non-negative numeric values,no,Reconstructed trip duration in minutes.,Derived from local trip start and end times before exact timestamps are removed; rounded to two decimal places.,103774,0,7529,0.03,9.23,16.1,24.952153,27.8,1427.43,
network_distance,float,miles,non-negative numeric values,no,Total reconstructed network distance for the trip segment.,Distance is measured along the inferred transportation network.,103774,0,5149,0.01,1.77,4.2,7.577018,9.53,182.62,
